bill_number,senator_count,Senator 1,Senator 2
1029,2,McConnell,Cornyn.
1031,1,Hawley.,
1160,2,McConnell,Smith.
1253,2,Feinstein,Cornyn.
1309,2,McConnell,Cardin.
1340,2,Rubio,Menendez.
1387,2,Moran,Braun.
1434,2,McConnell,Portman.
1430,2,Fischer,Lankford.
1636,2,McConnell,Alexander.
1681,2,Braun,Alexander.
1757,2,McConnell,Ernst.
1846,2,Fischer,Peters.
1,2,Menendez,Risch
2032,2,Sasse,Feinstein.
2052,2,Cornyn,Van Hollen.
2054,2,Sasse,Markey.
2096,2,McConnell,Boozman.
221,2,McConnell,Gardner.
2299,2,McConnell,Wicker.
2321,2,McConnell,Blunt.
2429,2,Cornyn,Rubio.
249,2,McConnell,Inhofe.
2547,2,McConnell,Romney.
2597,2,McConnell,Thune.
2693,2,McConnell,Schatz.
2800,1,Cruz.,
2827,1,Brown.,
3248,2,Braun,Moran.
3287,2,Moran,Enzi.
384,2,McConnell,Capito.
4049,1,Tester,
439,2,McConnell,Cardin.
481,2,Braun,Klobuchar.
529,2,Sullivan,Cantwell.
633,2,Murkowski,Moran.
850,1,Sullivan.,
886,2,McConnell,Udall.
924,2,McConnell,Cornyn.
2657,1,Shaheen,
23,2,McConnell,Cramer.
37,2,McConnell,Coons.
68,2,Cramer,Rubio.
7,2,Lee,Rubio.
74,2,McConnell,Thune.
188,2,Thune,Cruz.
235,2,McConnell,Booker.
490,2,McConnell,Blunt.
497,2,Murkowski,Cotton.
625,1,Scott FL.,
659,2,McConnell,Fischer.
69,2,McConnell,Burr.
91,2,McConnell,Coons.
1694,1,Peters.,
178,1,McConnell,
1790,1,Inhofe.,
1822,1,Wicker.,
1869,2,Murkowski,Peters.
1982,2,McConnell,Sullivan.
212,2,McConnell,Hoeven.
2174,1,Cornyn.,
2683,2,McConnell,Alexander.
914,2,Sullivan,Wicker.
1014,2,McConnell,Duckworth.
1310,2,Cornyn,Wicker.
134,2,McConnell,Toomey.
1646,2,McConnell,Rubio.
1838,1,Rubio.,
2163,2,Hawley,Lankford.
2330,1,Moran.,
239,2,Thune,Shaheen.
2710,1,Merkley.,
2981,2,Cornyn,Sullivan.
3312,1,Cornyn.,
3607,2,Cornyn,Grassley.
371,2,Cornyn,Fischer.
3758,2,Perdue,Merkley.
4054,2,Cornyn,Roberts.
457,2,McConnell,Cornyn.
47,1,Rubio,
504,2,McConnell,Tillis.
50,2,McConnell,Hoeven.
578,2,McConnell,Grassley.
737,2,McConnell,Rosen.
760,1,Peters. In,
785,1,Moran.,
862,2,McConnell,Kennedy.
881,2,McConnell,Peters.
893,2,McConnell,Cornyn.
945,1,Kennedy.,
28,2,McConnell,Shelby.
31,2,McConnell,Shelby.
1158,1,McConnell,
1520,2,Cornyn,Alexander.
1865,1,McConnell,
2486,2,Scott SC,Alexander.
3055,1,Paul.,
550,2,McConnell,Murkowski.
925,2,McConnell,Barrasso.
1044,1,Lee.,
1365,2,Cramer,Graham.
1503,2,McConnell,Alexander.
1830,2,Cornyn,Schumer.
1923,2,Braun,Cortez Masto.
1925,2,Murkowski,Gillibrand.
1957,2,McConnell,Gardner.
2157,2,McConnell,Shelby. In
251,2,McConnell,Johnson.
2610,2,Braun,Wicker.
266,1,McConnell.,
3253,2,Scott FL,Blunt.
3401,1,Paul,
3504,2,McConnell,Moran.
4334,2,Murkowski,Collins.
4704,2,McConnell,Wicker.
4764,2,McConnell,Alexander.
4920,2,Murkowski,Tester.
6172,1,Paul.,
6395,2,McConnell,Inhofe.
748,1,Sasse,
1327,1,Lee.,
268,1,McConnell,
3877,1,Paul.,
4378,1,Paul.,
6074,1,Paul.,
6201,1,Johnson.,
8337,1,McConnell,
